source_id,edge_id,edge_kind,length_km,peak_inflow_kw,geometry_json,original_road_segments,building_id
H2,road::00297,road,0.041831471274017866,1875.094991759161,"[[10.2042147,50.0379254],[10.2046171,50.0376525]]",1,
H2,road::00301,road,0.03215426718014438,875.8822869569104,"[[10.2042952,50.0374845],[10.2046687,50.0373237]]",1,
H2,road::00308,road,0.018368997728858222,221.86956627091408,"[[10.2046171,50.0376525],[10.2047988,50.0377692]]",1,
H2,road::00309,road,0.02412255227927755,1652.2756297473618,"[[10.2046171,50.0376525],[10.2048491,50.0374951]]",1,
H2,road::00310,road,0.023019080254104582,986.9876819697987,"[[10.2046687,50.0373237],[10.2048491,50.0374951]]",1,
H2,road::00312,road,0.021915344031136548,664.7425734686017,"[[10.2048491,50.0374951],[10.204876,50.0375155],[10.2050402,50.0376491]]",2,
H2,road::00317,road,0.02015038731025295,553.9677135364265,"[[10.2050402,50.0376491],[10.2052291,50.0377835]]",1,
H2,road::00320,road,0.004242403317341837,443.2097353255545,"[[10.2052291,50.0377835],[10.2052722,50.0378097]]",1,
H2,road::00322,road,0.043448475964581,221.714330781345,"[[10.2052722,50.0378097],[10.2057135,50.0380781]]",1,
H2,road::00478,road,0.03659922422407448,3372.387638893946,"[[10.2090293,50.0386798],[10.2090969,50.0387134],[10.2094125,50.0388616],[10.209441,50.0388751]]",3,
H2,road::00479,road,0.09809780843077574,3371.5328159154906,"[[10.2090293,50.0386798],[10.2090719,50.0386404],[10.2092378,50.0384869],[10.2093104,50.0383999],[10.2097319,50.0379947],[10.2097845,50.0379441]]",5,
H2,road::00480,road,0.03859657724851221,111.07087486096563,"[[10.2091952,50.0376684],[10.2092532,50.0376118],[10.209347,50.0375198],[10.2093961,50.0374738],[10.2095416,50.0375379]]",4,
H2,road::00481,road,0.04150242502158984,111.98138367724471,"[[10.2091952,50.0376684],[10.209265,50.0376988],[10.209366,50.03774],[10.2094723,50.0377833],[10.2096716,50.0378808]]",4,
H2,road::00490,road,0.09603006927241602,3374.965713106196,"[[10.2093426,50.0389875],[10.2090916,50.039274],[10.2090575,50.0392544],[10.2089941,50.0391448],[10.208999,50.0391032],[10.2091525,50.0389209],[10.2093426,50.0389875]]",6,
H2,road::00491,road,0.014345414707188956,3372.7226969962794,"[[10.2093426,50.0389875],[10.209441,50.0388751]]",1,
H2,road::00506,road,0.027989755540161528,110.96064543909065,"[[10.2096127,50.0373846],[10.2098286,50.0371747]]",1,
H2,road::00507,road,0.010714521039037996,1475.8619265524771,"[[10.2096716,50.0378808],[10.2097845,50.0379441]]",1,
H2,road::00508,road,0.07161905338963698,1363.6391264504755,"[[10.2096716,50.0378808],[10.2098042,50.0377546],[10.2101059,50.0374674],[10.2102335,50.0373478]]",3,
H2,road::00516,road,0.10916948421318187,1893.3797225930318,"[[10.2097845,50.0379441],[10.2098701,50.037992],[10.210131,50.0381031],[10.2110479,50.0384935]]",3,
H2,road::00517,road,0.01145045528745926,137.1842580884468,"[[10.2098286,50.0371747],[10.2099633,50.0372303]]",1,
H2,road::00527,road,0.011726910020704008,247.68682659068511,"[[10.2099633,50.0372303],[10.2100983,50.0372901]]",1,
H2,road::00530,road,0.01160801011389881,358.11554145054225,"[[10.2100983,50.0372901],[10.2102335,50.0373478]]",1,
H2,road::00539,road,0.014707313717123954,110.65092198399888,"[[10.2102116,50.0364313],[10.2103503,50.0364897],[10.2103844,50.0365029]]",2,
H2,road::00540,road,0.021836435828072397,110.63748335684953,"[[10.2102156,50.0366665],[10.2103147,50.0365705],[10.2103844,50.0365029]]",2,
H2,road::00543,road,0.05893727059243682,1003.9133802473631,"[[10.2102335,50.0373478],[10.2105616,50.0370402],[10.2106996,50.0369108]]",2,
H2,road::00544,road,0.013177439529863503,110.6333514845712,"[[10.210361,50.0369057],[10.210465,50.0368079]]",1,
H2,road::00547,road,0.04603330068619109,222.3005236999036,"[[10.2103844,50.0365029],[10.2107437,50.0366428],[10.2107981,50.0366573],[10.2108548,50.0366594],[10.210959,50.0366418]]",4,
H2,road::00548,road,0.020314716907635026,221.25410898957054,"[[10.210465,50.0368079],[10.2106996,50.0369108]]",1,
H2,road::00561,road,0.035232574052183635,781.3434081952807,"[[10.2106996,50.0369108],[10.2108181,50.0367978],[10.2108952,50.0367068],[10.210959,50.0366418]]",3,
